description,title,url,tag
PPT 템플릿,프레젠테이션매거진,https://www.presentationmagazine.com/,"PPT, PPT 템플릿, 무료 템플릿, 주제별 템플릿, "
"주제별 PPT 템플릿, PPT 표, 다이어그램, 차트 ",올피피티,https://www.free-powerpoint-templates-design.com/,"PPT, PPT 템플릿, 무료 템플릿, 주제별 템플릿, PPT 표, PPT 다이어그램, PPT 차트, "
"파워포인트 팁, 영상 편집 팁, 포토샵 팁, 참고 자료",애드스토어,https://adstorepost.com/,"PPT 팁, 영상 팁, 포토샵 팁, PPT 템플릿, 포트폴리오, 참고 자료, PT, 제안서, 디자인, 영상 , VFX"
"PPT 공유, 내용 중심 ",슬라이드쉐어,https://www.slideshare.net/,"PPT, PPT 공유, 자료,"
"포스터, PPT, 한장짜리 템플릿, 기획 발표용 ",픽셀리파이,https://pixelify.net/,"한장짜리 템플릿, 포스터, 기획 발표용"
PPT 만드는 법 PPT 유튜브,파워포인트스쿨,https://powerpointschool.com/,"PPT 만드는 법, PPT 유튜브, PPT 튜토리얼, 이력서 템플릿, PPT템플릿, PPT 꿀팁"
"고품질 PPT테플릿, 최저가 천원 질좋은 템플릿",피피티 모아,http://pptmoa.com/,"전문적, 구성 중요, 발표, 무료PPT"
"비즈니스 발표, 대학교 발표 템플릿",쇼윗,https://www.showeet.com/,"비즈니스 발표, 대학교 발표, 고품질 템플릿, 퀄리티"
인포그래픽 디자인 참고 사이트,비쥬얼다이브,http://visualdive.co.kr/,"데이터의 시각화, 라이프스타일, "
"템플릿 공유, 로고공유,",피피티비즈캠,http://pptbizcam.co.kr/,
"무료 이미지, 무료 일러스트, 무료 비디오",픽사베이,https://pixabay.com/ko/,"무료 이미지, 무료 일러스트, 무료 비디오, "
무료 일러스트,일러스트AC,https://ac-illust.com/ko/,
"PPT,인쇄물을 만들 때",프리픽,https://www.freepik.com/,
사용자의 취향을 분석해 이미지 제공,핀터레스트,https://www.pinterest.co.kr/,
감성적인 사진,얼라우투,http://allowto.com/,"감성적인, "
"고퀄리티, 감성적인 사진",언스플래쉬,https://unsplash.com/,"감성적인, 느낌있는"
"무료 사진, 무료 동영상",펙셀스,https://www.pexels.com/ko-kr/,"무료 이미지, 무료 일러스트, 무료 비디오, 무료 동영상"
감각적 사진 무료 다운로드 사이트,그래티소그래픽,https://gratisography.com/,
ppt디자인 배경 ,500px,https://500px.com/,
"컬러 팔레트 제작, 컬러 조합 사이트",컬러어도브,https://color.adobe.com/ko/create/color-wheel,"컬러 팔레트, 색상 팔레트, 색상조합, PPT, "
"컬러 팔레트, 컬러 조합 사이트",컬러헌트,https://colorhunt.co/,"컬러 팔레트, 색상 팔레트, 컬러차트, 색상조합, PPT, "
"그라데이션, 색조합",유아이그라디언트,https://uigradients.com/#ManofSteel,
색조합 추천 사이트,컬러러버,https://www.colourlovers.com/,
"포토샵이 깔려 있지 않을 때, 온라인 포토샵",픽슬러,https://pixlr.com/kr/,"포토샵, 사진편집, 이미지편집,  편집툴, "
"설치 업이 파워포인트, 워드 사용 가능",오픈 오피스,http://www.openoffice.org/,"파워포인트, 워드, 엑셀, 한글"
필요 프로그램들 다운로드 ,네이버 소프트웨어,https://software.naver.com/main.nhn,"백신, 시스템 관리, 윈도우 관리, 백업, 복구, 문서 뷰어,  동영상, 오디오, 이미지, 그래픽, 문서, 사무, 소프트웨어 다운로드"
"지역별 통계자료, 업종별 통계자료, 기업 데이터, 검색량 조회 가능",네이버 데이터랩,https://datalab.naver.com/,"통계자료, 국내 통계, 지역별 통계자료, 업종별 통계자료, 기업 통계자료, 자료, 과제, 검색량 조회 가능"
키워드별 구글 검색량 제공,구글 트렌드,https://trends.google.co.kr/trends/?geo=KR,
"공공 데이터 분석, 그래프",데이터 플래닛,https://www.dataplanet.co.kr/,
키워드별 버즈량 맵,빅데이트 전략센터,https://kbig.kr/portal/,
국내외 산업통계정보 한눈에 확인,산업통계 분석시스템ISTANS,https://www.istans.or.kr/mainMenu.do,"주요산업동향지표, 이슈별산업통계, 인사이트 "
키워드와 빅데이터를 보기 쉽게,썸트렌드,https://some.co.kr/,"트랜드 키워드, 맵, 추이 그래프, 언급량 추이, 연관어, 감정 분석, "
"통계자료, 통계청의 통계르 엑셀로",국가통계포털,http://kosis.kr/index/index.do,"통계자료, 국내 통계, 해외 통계, 자료, 과제, "
"여론조사 자료, 라이프 스타일 자료",한국 갤럽,https://www.gallup.co.kr/,"공모전, "
키워드로 관련 이슈,빅 카인즈,https://www.kinds.or.kr/,
20대 트랜드 분석 자료,대학내일 20대 연구소,https://www.20slab.org/,
"국내 외 무역 관련 최신 동향, 통계자료",한국무역 협회,https://www.kita.net/,
"학위논문, 강의자료, 국내 외 학술 연구자료 무료 열람",RISS,http://www.riss.kr/index.do,
주제별 국내 논문자료,KISS,http://kiss.kstudy.com/,
"법률 문헌, 정책자료",국회 도서관,https://www.nanet.go.kr/main.do,
주제별 인기논문,페이퍼 서치,http://www.papersearch.net/,
논문 검색 사이트,구글 학술 검색,https://scholar.google.co.kr/schhp?hl=ko,
무료폰트,공공누리,https://www.kogl.or.kr/index.do,"폰트, 글꼴, 무료 폰트, 무료 글꼴,"
무료폰트,문화체육관광부,https://www.mcst.go.kr/kor/main.jsp,"폰트, 글꼴, 무료 폰트, 무료 글꼴,"
영문폰트,업스트랙폰트,http://www.abstractfonts.com/,"폰트, 글꼴, 무료 폰트, 무료 글꼴, 영문폰트"
영문폰트,폰트스쿼럴,https://www.fontsquirrel.com/,"폰트, 글꼴, 무료 폰트, 무료 글꼴, 영문폰트"
영문폰트,다폰트,https://www.dafont.com/,"폰트, 글꼴, 무료 폰트, 무료 글꼴, 영문폰트"
무료폰트,네이버 폰트,https://software.naver.com/main.nhn,"폰트, 글꼴, 무료 폰트, 무료 글꼴,"
무료폰트,눈누 상업용 무료한글폰트,https://noonnu.cc/,"폰트, 글꼴, 무료 폰트, 무료 글꼴, 기본 폰트, 깔끔한 폰트"
무료폰트,아시아폰트,http://www.asiafont.com/,"폰트, 글꼴, 무료 폰트, 무료 글꼴, 기본 폰트, 깔끔한 폰트"
무료폰트,배달의민족 폰트,https://www.woowahan.com/#/fonts,"폰트, 글꼴, 무료 폰트, 무료 글꼴,"
무료폰트,폰트클럽,http://www.fontclub.co.kr/,
"무료폰트, 맞춤글꼴",폰트패브릭,https://www.fontfabric.com/,맞춤글꼴
"색, 용량 조절가능 아이콘 다운, 픽토그램 다운",플래티콘,https://www.flaticon.com/,"PPT, 포토샵, 무료 아이콘, 무료 픽토그램"
"깔끔하고 간단한 아이콘 다운, 픽토그램 다운",더나운프로젝트,https://thenounproject.com/,"PPT, 포토샵, 무료 아이콘, 무료 픽토그램"
